,id,dialect,tweet
0,1175358310087892992,IQ, لكن بالنهاية .. ينتفض .. يغير .
1,1175416117793349632,IQ, يعني هذا محسوب على البشر .. حيونه ووحشيه .. وتطلبون من الغرب يحترمكم ويؤمن بدينكم ولاينعتكم بالإرهاب ..
2,1175450108898565888,IQ, مبين من كلامه خليجي
3,1175471073770573824,IQ, يسلملي مرورك وروحك الحلوه
4,1175496913145217024,IQ, وين هل الغيبه  اخ محمد 
5,1175668034146643968,IQ,  يااخي الإرهابي اذا كان عراقي سعودي فلسطيني وين المشكلة على باب الفرض...خليجي وماعنده رحمه وين المساس بقدسيتك .. الله يرضى عنك خلصت مشاكل العرب واختلفنا بجنسيت ابو الطفل .. المغردين سألوا من وين ورجحت وين الكارثة اللي وصلتك
6,1175670153884983296,IQ,  مطلبي يقدم استقالته وفوگاها اعتذار
7,1175671762580856832,IQ,  خلص والله لعيونكم انا ماعندي شيء معه بالعكس من متابعيني اللي بعتز فيهم ... خلص صافية لبن 
8,1175715664398561280,IQ, يمكن سؤال فات الكثير اللي يصور   شنو موقفه وكأنه يوثق بطوله .. المفروض حتى المصور يحال للقضاء لان نظرات الطفله تستنجد باتجاه الكاميرا..
9,1176019816072777728,IQ,   اولا اني ردت على رجل جنوبي واللي ذكر حجابها ... ثانياً انت شدعوه صايره محامي لكوهين ... صحيح مقولة العراق بلد الغرائب والعجائب
